account_id,district_id,frequency,years_since_acc_open
576,55,monthly issuance,28
3818,74,monthly issuance,28
704,55,monthly issuance,28
2378,16,monthly issuance,28
2632,24,monthly issuance,28
1972,77,monthly issuance,28
1539,1,issuance after transaction,28
793,47,monthly issuance,28
2484,74,monthly issuance,28
1695,76,monthly issuance,28
1726,48,monthly issuance,28
2881,70,monthly issuance,28
2357,19,monthly issuance,28
2177,62,monthly issuance,28
485,6,issuance after transaction,28
652,21,monthly issuance,28
9635,70,monthly issuance,28
1844,44,monthly issuance,28
1926,37,monthly issuance,28
2393,10,monthly issuance,28
3510,41,monthly issuance,28
1276,36,monthly issuance,28
1637,1,monthly issuance,28
3871,26,monthly issuance,28
192,55,monthly issuance,28
764,1,monthly issuance,28
2087,7,weekly issuance,28
2122,68,monthly issuance,28
3592,54,monthly issuance,28
3487,41,monthly issuance,28
435,38,monthly issuance,28
1730,1,monthly issuance,28
1493,41,monthly issuance,28
374,38,monthly issuance,28
2925,1,monthly issuance,28
866,9,monthly issuance,28
1628,60,monthly issuance,28
2379,44,monthly issuance,28
1979,26,monthly issuance,28
346,37,monthly issuance,28
1338,74,monthly issuance,28
1909,14,monthly issuance,28
2099,3,weekly issuance,28
3760,44,monthly issuance,28
5270,44,monthly issuance,28
1699,53,monthly issuance,28
3909,1,monthly issuance,28
2926,50,monthly issuance,28
1731,33,monthly issuance,28
11265,15,monthly issuance,28
2519,4,monthly issuance,28
10364,55,monthly issuance,28
1481,15,monthly issuance,28
401,32,monthly issuance,28
4034,1,monthly issuance,28
2330,54,monthly issuance,28
1806,40,monthly issuance,28
3834,54,monthly issuance,28
1222,66,monthly issuance,28
212,27,weekly issuance,28
456,49,monthly issuance,28
459,47,monthly issuance,28
772,45,monthly issuance,28
1019,52,monthly issuance,28
11295,74,monthly issuance,28
2970,60,monthly issuance,28
2676,73,monthly issuance,28
1536,41,weekly issuance,28
1179,74,monthly issuance,28
280,25,monthly issuance,28
2425,41,monthly issuance,28
9307,68,monthly issuance,28
4055,23,monthly issuance,28
5065,66,monthly issuance,28
3704,75,monthly issuance,28
477,1,monthly issuance,28
5891,54,monthly issuance,28
1000,77,monthly issuance,28
1750,1,monthly issuance,28
2023,68,monthly issuance,28
6473,12,monthly issuance,28
1649,46,monthly issuance,28
2670,13,monthly issuance,28
1127,27,monthly issuance,28
163,30,monthly issuance,28
2566,48,monthly issuance,28
9,70,monthly issuance,28
1144,59,monthly issuance,28
2902,32,monthly issuance,28
4296,63,monthly issuance,28
443,64,monthly issuance,28
3693,61,monthly issuance,28
2070,72,monthly issuance,28
1843,12,monthly issuance,28
2714,1,monthly issuance,28
4078,40,monthly issuance,28
1675,36,monthly issuance,28
5868,44,monthly issuance,28
1805,1,monthly issuance,28
2434,17,monthly issuance,28
3007,16,monthly issuance,28
2574,68,monthly issuance,28
862,64,weekly issuance,28
1132,1,weekly issuance,28
4484,54,monthly issuance,28
943,1,monthly issuance,28
3514,7,monthly issuance,28
3983,67,monthly issuance,28
9265,1,monthly issuance,28
465,32,monthly issuance,28
982,54,monthly issuance,28
411,70,monthly issuance,28
890,14,monthly issuance,28
627,63,monthly issuance,28
2429,61,monthly issuance,28
3960,64,monthly issuance,28
2256,48,monthly issuance,28
8051,1,weekly issuance,28
2647,73,monthly issuance,28
2241,6,monthly issuance,28
5622,70,monthly issuance,28
2884,1,monthly issuance,28
1830,10,monthly issuance,28
7753,74,monthly issuance,28
244,24,monthly issuance,28
1477,1,monthly issuance,28
4240,50,monthly issuance,28
1006,6,monthly issuance,28
830,74,monthly issuance,28
9188,45,monthly issuance,28
1965,57,issuance after transaction,28
1134,6,monthly issuance,28
1601,10,monthly issuance,28
2861,38,monthly issuance,28
813,16,monthly issuance,28
2585,75,monthly issuance,28
2220,16,monthly issuance,28
2763,64,monthly issuance,28
2342,51,monthly issuance,28
1944,72,monthly issuance,28
1966,27,monthly issuance,28
1801,46,monthly issuance,28
2543,68,monthly issuance,28
2293,31,monthly issuance,28
11013,1,weekly issuance,28
2423,30,monthly issuance,28
142,51,monthly issuance,28
3424,74,monthly issuance,28
539,13,issuance after transaction,28
979,21,monthly issuance,28
3554,66,monthly issuance,28
3545,51,monthly issuance,28
3047,16,monthly issuance,28
3374,21,monthly issuance,28
96,68,monthly issuance,28
461,30,monthly issuance,28
3593,1,monthly issuance,28
3026,24,monthly issuance,28
1054,10,monthly issuance,28
2433,71,monthly issuance,28
3691,50,monthly issuance,28
3787,70,monthly issuance,28
128,2,monthly issuance,28
3168,39,monthly issuance,28
4937,12,monthly issuance,28
2124,69,monthly issuance,28
322,1,monthly issuance,28
4355,31,monthly issuance,28
