card_id,disp_id,type,years_since_issued
1005,9285,classic,28
104,588,classic,27
747,4915,classic,27
70,439,classic,27
577,3687,classic,27
377,2429,classic,27
721,4680,junior,27
437,2762,classic,27
188,1146,classic,27
13,87,classic,27
732,4763,classic,27
181,1066,classic,27
384,2475,junior,27
309,1946,classic,27
478,3084,classic,27
563,3589,classic,27
369,2363,classic,26
376,2428,classic,26
483,3115,classic,26
174,1039,junior,26
658,4251,classic,26
763,5138,junior,26
778,5275,classic,26
1039,9837,classic,26
477,3082,junior,26
168,1018,classic,26
314,1999,junior,26
468,3023,classic,26
208,1246,gold,26
766,5200,classic,26
464,2984,classic,26
497,3184,classic,26
166,999,classic,26
15,114,classic,26
503,3225,classic,26
737,4791,classic,26
759,5117,junior,26
223,1353,classic,26
5,51,junior,26
662,4293,classic,26
779,5323,junior,26
545,3458,classic,26
467,3019,classic,26
1247,13660,classic,26
652,4211,classic,26
559,3573,classic,26
719,4663,classic,26
397,2513,classic,26
107,593,classic,26
661,4270,classic,26
484,3116,classic,26
501,3197,classic,26
422,2650,junior,26
705,4555,classic,26
410,2569,classic,26
136,778,classic,26
592,3782,junior,26
262,1647,junior,26
18,128,classic,26
3,41,gold,26
98,537,classic,26
167,1011,classic,26
97,531,junior,26
699,4532,classic,26
342,2157,classic,26
713,4627,classic,26
118,652,classic,26
783,5433,junior,26
504,3230,junior,26
261,1629,gold,25
296,1876,gold,25
113,629,junior,25
92,508,classic,25
1225,13268,classic,25
393,2498,junior,25
695,4507,classic,25
666,4328,junior,25
462,2978,classic,25
85,489,classic,25
337,2141,classic,25
771,5233,classic,25
379,2431,classic,25
106,592,classic,25
606,3883,classic,25
427,2688,gold,25
202,1228,classic,25
14,112,classic,25
423,2657,classic,25
989,9119,classic,25
364,2329,classic,25
267,1691,junior,25
621,3970,junior,25
725,4715,junior,25
150,859,classic,25
302,1900,classic,25
372,2395,classic,25
499,3187,classic,25
229,1384,classic,25
289,1831,junior,25
37,238,classic,25
286,1812,gold,25
157,907,classic,25
216,1310,junior,25
977,8968,classic,25
183,1080,classic,25
945,8342,junior,25
44,268,junior,25
127,714,classic,25
764,5159,classic,25
204,1239,junior,25
1134,11742,classic,25
312,1971,classic,25
313,1980,classic,25
641,4116,classic,25
731,4751,classic,25
84,487,classic,25
265,1680,classic,25
1176,12502,gold,25
407,2555,classic,25
320,2045,classic,25
1187,12635,gold,25
121,666,junior,25
303,1912,classic,25
651,4201,junior,25
736,4789,classic,25
24,153,junior,25
119,655,classic,25
670,4343,classic,25
227,1380,classic,25
1164,12269,classic,25
278,1779,classic,25
103,584,junior,25
673,4353,junior,25
38,242,classic,25
470,3036,classic,25
514,3267,classic,25
741,4832,classic,25
12,83,junior,25
152,876,classic,25
163,984,classic,25
708,4568,junior,25
601,3830,classic,25
99,548,gold,25
547,3477,classic,25
40,255,classic,25
220,1333,classic,25
390,2490,classic,25
776,5263,classic,25
197,1202,junior,25
516,3279,classic,25
381,2440,classic,25
272,1754,junior,25
772,5243,classic,25
528,3356,classic,25
87,493,classic,25
88,496,classic,25
441,2785,classic,25
562,3583,classic,25
690,4479,classic,25
374,2423,classic,24
57,347,classic,24
722,4684,classic,24
300,1890,classic,24
117,649,junior,24
541,3427,junior,24
294,1861,classic,24
10,77,classic,24
710,4588,junior,24
363,2324,junior,24
697,4518,classic,24
433,2724,classic,24
642,4137,classic,24
243,1478,classic,24
162,967,junior,24
594,3794,junior,24
609,3893,classic,24
786,5478,classic,24
