Id,Predicted
5895,0.0
7122,0.832
6173,0.056
6142,0.048
5358,0.184
6095,0.0
6878,0.076
6554,0.028
6793,0.072
7286,0.012
6076,0.0
5134,0.0
5419,0.496
6255,0.568
5656,0.032
6934,0.004
6028,0.004
6490,0.096
6415,0.036
7087,0.0
5420,0.124
5977,0.584
6824,0.904
5207,0.028
7115,0.284
7250,0.12
6010,0.104
6088,0.528
5682,0.016
7201,0.012
6938,0.06
6875,0.108
5953,0.368
5942,0.0
5382,0.0
6377,0.004
5931,0.72
5992,0.012
5790,0.196
6753,0.092
6562,0.032
7046,0.344
5868,0.092
5784,0.312
5878,0.0
5110,0.004
5210,0.076
7230,0.048
5005,0.032
6871,0.344
5363,0.884
7253,0.092
6055,0.284
5072,0.28
6913,0.048
6386,0.024
5634,0.044
5758,0.608
6819,0.384
7088,0.0
5039,0.036
5532,0.0
6037,0.008
6322,0.084
6887,0.052
6660,0.052
5451,0.1
6014,0.0
5556,0.176
6346,0.332
5850,0.148
5940,0.032
7119,0.008
5253,0.636
6851,0.888
6695,0.328
6908,0.204
7255,0.02
5674,0.076
6278,0.204
5486,0.052
5174,0.032
6621,0.04
6313,0.064
6435,0.124
6970,0.008
6310,0.24
5932,0.288
6877,0.084
6763,0.284
7085,0.268
7049,0.0
6959,0.908
5214,0.044
6350,0.024
5063,0.908
5041,0.008
5086,0.032
6942,0.004
5270,0.04
6705,0.016
7051,0.14
6758,0.108
6249,0.064
5808,0.0
5377,0.004
5446,0.008
5856,0.904
4986,0.052
7001,0.012
6677,0.092
6665,0.0
5817,0.856
6984,0.0
6541,0.0
5117,0.008
6097,0.0
5389,0.336
7219,0.004
6338,0.024
6922,0.408
5367,0.412
5638,0.044
5830,0.0
5338,0.776
6007,0.044
6612,0.04
5718,0.004
6104,0.136
5229,0.008
6625,0.212
5206,0.02
5963,0.464
4990,0.0
6641,0.06
5369,0.356
6196,0.1
5236,0.104
5719,0.084
5643,0.352
7050,0.2
6355,0.012
6688,0.056
6239,0.232
5531,0.004
6113,0.0
7181,0.424
6118,0.012
7264,0.116
5343,0.048
5051,0.196
5779,0.084
6605,0.048
6655,0.012
6534,0.016
5681,0.232
6607,0.1
6242,0.22
7242,0.008
7277,0.028
6675,0.008
5398,0.108
5956,0.004
5731,0.34
6956,0.368
6437,0.5
5447,0.848
5973,0.268
6075,0.868
5281,0.052
5103,0.0
6468,0.004
7209,0.664
5584,0.0
4988,0.588
6502,0.116
5651,0.0
4962,0.116
5862,0.012
7199,0.132
6727,0.204
7279,0.012
6544,0.084
5933,0.012
6574,0.016
6399,0.0
7187,0.052
6353,0.064
5043,0.024
5469,0.524
5976,0.02
6059,0.024
5799,0.124
6147,0.312
6254,0.008
7100,0.004
7147,0.476
5909,0.04
7037,0.0
5782,0.232
6237,0.92
6552,0.0
7067,0.076
5320,0.06
5930,0.044
6486,0.024
5245,0.036
6643,0.004
5260,0.116
5569,0.092
7110,0.172
7139,0.008
6791,0.004
5360,0.0
5287,0.032
6553,0.024
7072,0.0
6044,0.024
5332,0.036
6866,0.012
6633,0.068
6926,0.0
6442,0.024
5889,0.036
5765,0.304
5124,0.004
5491,0.204
6730,0.288
7151,0.012
5140,0.04
7171,0.112
6568,0.028
6861,0.248
6855,0.028
7129,0.004
5384,0.012
6859,0.076
5772,0.208
5665,0.0
6495,0.052
5061,0.02
6948,0.296
5773,0.644
6052,0.036
6682,0.8
6083,0.356
6962,0.396
5158,0.18
6464,0.08
5172,0.02
5582,0.128
6136,0.264
6235,0.004
6508,0.004
4968,0.008
6632,0.044
7195,0.04
5525,0.36
6320,0.0
6766,0.012
6872,0.308
5906,0.108
7172,0.0
6571,0.02
5616,0.016
6312,0.028
6470,0.08
5147,0.416
5501,0.004
6436,0.176
5699,0.028
5313,0.012
6234,0.0
6569,0.02
7202,0.136
5683,0.096
5034,0.0
5435,0.052
5815,0.08
5589,0.12
6746,0.532
6790,0.224
6857,0.02
6450,0.0
7221,0.128
5527,0.04
5620,0.164
6215,0.0
7167,0.012
5823,0.016
6207,0.0
6932,0.012
5669,0.052
5154,0.248
7168,0.028
5585,0.204
7200,0.4
6539,0.044
5774,0.136
6357,0.004
5042,0.012
5015,0.004
5354,0.0
6054,0.532
7295,0.056
5365,0.264
6755,0.468
5991,0.844
7035,0.008
5893,0.032
7164,0.18
5304,0.012
5561,0.016
5520,0.016
5241,0.008
7096,0.02
6078,0.024
5046,0.172
5334,0.0
6969,0.0
6821,0.016
5760,0.036
5614,0.036
7091,0.032
5698,0.012
5169,0.012
7294,0.012
5318,0.296
5368,0.012
6923,0.012
5463,0.028
5265,0.276
6321,0.196
5226,0.168
6868,0.268
4967,0.824
5293,0.0
5865,0.012
5841,0.016
5526,0.004
6852,0.032
6469,0.008
6168,0.02
7292,0.024
5036,0.54
5644,0.044
6856,0.468
5428,0.084
5027,0.012
4989,0.292
5221,0.204
6402,0.024
5346,0.108
6748,0.076
