Id,Predicted
5895,0.008
7122,0.808
6173,0.072
6142,0.084
5358,0.016
6095,0.0
6878,0.164
6554,0.172
6793,0.04
7286,0.008
6076,0.02
5134,0.0
5419,0.336
6255,0.72
5656,0.22
6934,0.008
6028,0.0
6490,0.212
6415,0.1
7087,0.0
5420,0.124
5977,0.748
6824,0.876
5207,0.156
7115,0.064
7250,0.228
6010,0.092
6088,0.648
5682,0.024
7201,0.02
6938,0.012
6875,0.108
5953,0.208
5942,0.0
5382,0.008
6377,0.004
5931,0.616
5992,0.008
5790,0.34
6753,0.148
6562,0.044
7046,0.072
5868,0.024
5784,0.536
5878,0.004
5110,0.004
5210,0.088
7230,0.064
5005,0.072
6871,0.208
5363,0.864
7253,0.032
6055,0.336
5072,0.284
6913,0.068
6386,0.04
5634,0.016
5758,0.412
6819,0.488
7088,0.004
5039,0.048
5532,0.008
6037,0.0
6322,0.12
6887,0.008
6660,0.1
5451,0.216
6014,0.0
5556,0.12
6346,0.496
5850,0.156
5940,0.068
7119,0.012
5253,0.828
6851,0.868
6695,0.22
6908,0.2
7255,0.064
5674,0.136
6278,0.176
5486,0.12
5174,0.004
6621,0.036
6313,0.256
6435,0.172
6970,0.0
6310,0.304
5932,0.42
6877,0.036
6763,0.136
7085,0.284
7049,0.004
6959,0.936
5214,0.02
6350,0.004
5063,0.936
5041,0.068
5086,0.028
6942,0.0
5270,0.088
6705,0.116
7051,0.072
6758,0.132
6249,0.152
5808,0.036
5377,0.028
5446,0.0
5856,0.892
4986,0.08
7001,0.06
6677,0.036
6665,0.0
5817,0.872
6984,0.008
6541,0.0
5117,0.028
6097,0.0
5389,0.296
7219,0.004
6338,0.056
6922,0.412
5367,0.416
5638,0.012
5830,0.0
5338,0.68
6007,0.076
6612,0.032
5718,0.0
6104,0.328
5229,0.004
6625,0.276
5206,0.108
5963,0.328
4990,0.0
6641,0.048
5369,0.168
6196,0.204
5236,0.016
5719,0.176
5643,0.32
7050,0.172
6355,0.016
6688,0.008
6239,0.396
5531,0.008
6113,0.064
7181,0.352
6118,0.012
7264,0.324
5343,0.036
5051,0.144
5779,0.112
6605,0.016
6655,0.024
6534,0.0
5681,0.356
6607,0.076
6242,0.376
7242,0.004
7277,0.012
6675,0.004
5398,0.096
5956,0.0
5731,0.284
6956,0.608
6437,0.604
5447,0.784
5973,0.196
6075,0.664
5281,0.06
5103,0.0
6468,0.004
7209,0.692
5584,0.012
4988,0.532
6502,0.044
5651,0.0
4962,0.048
5862,0.004
7199,0.036
6727,0.12
7279,0.136
6544,0.04
5933,0.132
6574,0.016
6399,0.0
7187,0.08
6353,0.036
5043,0.012
5469,0.512
5976,0.004
6059,0.02
5799,0.256
6147,0.424
6254,0.016
7100,0.0
7147,0.34
5909,0.104
7037,0.004
5782,0.256
6237,0.952
6552,0.0
7067,0.096
5320,0.088
5930,0.096
6486,0.004
5245,0.216
6643,0.008
5260,0.344
5569,0.024
7110,0.048
7139,0.0
6791,0.0
5360,0.008
5287,0.056
6553,0.02
7072,0.0
6044,0.016
5332,0.028
6866,0.012
6633,0.076
6926,0.0
6442,0.0
5889,0.02
5765,0.252
5124,0.008
5491,0.156
6730,0.22
7151,0.02
5140,0.032
7171,0.068
6568,0.064
6861,0.364
6855,0.0
7129,0.06
5384,0.028
6859,0.104
5772,0.264
5665,0.056
6495,0.088
5061,0.004
6948,0.712
5773,0.424
6052,0.024
6682,0.704
6083,0.244
6962,0.636
5158,0.1
6464,0.116
5172,0.0
5582,0.12
6136,0.184
6235,0.0
6508,0.02
4968,0.02
6632,0.016
7195,0.028
5525,0.208
6320,0.0
6766,0.004
6872,0.268
5906,0.172
7172,0.0
6571,0.012
5616,0.012
6312,0.092
6470,0.16
5147,0.612
5501,0.004
6436,0.16
5699,0.028
5313,0.012
6234,0.0
6569,0.04
7202,0.2
5683,0.18
5034,0.0
5435,0.052
5815,0.12
5589,0.204
6746,0.616
6790,0.06
6857,0.012
6450,0.012
7221,0.18
5527,0.024
5620,0.336
6215,0.008
7167,0.004
5823,0.028
6207,0.0
6932,0.028
5669,0.06
5154,0.3
7168,0.004
5585,0.344
7200,0.54
6539,0.008
5774,0.028
6357,0.06
5042,0.02
5015,0.028
5354,0.044
6054,0.52
7295,0.176
5365,0.128
6755,0.548
5991,0.696
7035,0.004
5893,0.004
7164,0.164
5304,0.008
5561,0.0
5520,0.008
5241,0.04
7096,0.02
6078,0.012
5046,0.024
5334,0.0
6969,0.0
6821,0.0
5760,0.012
5614,0.124
7091,0.032
5698,0.0
5169,0.048
7294,0.008
5318,0.292
5368,0.084
6923,0.08
5463,0.012
5265,0.292
6321,0.24
5226,0.016
6868,0.376
4967,0.78
5293,0.0
5865,0.028
5841,0.008
5526,0.0
6852,0.004
6469,0.008
6168,0.012
7292,0.0
5036,0.564
5644,0.052
6856,0.544
5428,0.04
5027,0.004
4989,0.456
5221,0.18
6402,0.024
5346,0.228
6748,0.016
